weight,year,age,sex,education,race,asset_total,asset_housing,debt_total,debt_housing,income
6859.9597277,1989,35,female,no college,white,3731.72,0,1530.01,0,9737.17
7375.7886381,1989,35,female,no college,black,0,0,0,0,11684.6
4193.294199,1989,40,male,no college,other,216439.77,139939.51,26681.8,18658.6,83739.63
4743.2080242,1989,51,female,no college,black,40060.02,18658.6,26383.26,5597.58,19474.33
5971.3194958,1989,28,male,no college,black,35675.24,33585.48,27987.9,20524.46,35053.8
5767.6274321,1989,32,male,no college,other,10262.23,9329.3,0,0,11684.6
5767.6274321,1989,33,male,no college,other,32111.45,27987.9,11195.16,7463.44,21421.77
8168.7695539,1989,52,male,no college,black,62413.02,55975.8,3358.55,0,29211.5
8734.3885906,1989,62,male,no college,black,82097.84,74634.4,4590.02,0,19474.33
9068.67245,1989,63,female,no college,white,1865.86,0,5597.58,0,5842.3
10783.352167,1989,21,female,no college,black,0,0,0,0,7789.73
7476.7509707,1989,35,female,college degree,black,196101.89,177256.71,78366.12,0,56475.57
10705.572782,1989,27,male,no college,black,190653.58,167927.41,141059.02,139939.51,72055.03
3627.5103819,1989,43,female,no college,black,9739.79,0,21345.44,0,19474.33
4904.4085862,1989,30,female,no college,black,0,0,317.2,0,15579.47
7061.5977306,1989,23,male,no college,black,5597.58,3731.72,1679.27,0,15579.47
5037.6440073,1989,56,female,no college,black,11531.02,0,14926.88,0,15579.47
3791.7564488,1989,43,male,no college,white,4272.82,0,4832.58,0,52580.7
5776.6290088,1989,70,female,no college,white,1959.15,0,0,0,9737.17
4679.8134365,1989,50,male,no college,white,91053.97,55975.8,3731.72,0,38948.67
5483.137895,1989,75,male,no college,white,144809.4,55975.8,0,0,46738.4
8813.8326078,1989,52,male,college degree,white,230340.43,149268.81,127811.42,95158.86,101266.54
6802.6441593,1989,44,female,no college,white,14926.88,0,186.59,0,11684.6
8405.7776247,1989,55,male,no college,white,0,0,0,0,0
6261.3692552,1989,22,female,no college,black,0,0,503.78,0,9737.17
3117.8710537,1989,64,male,no college,white,475794.32,149268.81,0,0,116846
4170.3577913,1989,38,male,some college,black,10448.82,3731.72,7146.24,0,19474.33
5767.6274321,1989,30,female,no college,other,32242.06,27987.9,16382.25,14926.88,42843.53
5071.6355415,1989,62,male,no college,black,5877.46,3731.72,485.12,0,11684.6
4904.4085862,1989,30,female,no college,black,0,0,0,0,23369.2
4283.3623134,1989,41,male,no college,white,266911.28,167927.41,158598.11,138073.65,101266.54
4076.8743904,1989,38,female,no college,black,2425.62,0,1548.66,0,17526.9
5037.6440073,1989,64,female,no college,black,373.17,0,0,0,7789.73
12161.508473,1989,23,male,some college,black,69820.48,37317.2,35451.34,24256.18,42843.53
7476.7509707,1989,38,male,college degree,black,244894.13,167927.41,172218.88,138073.65,58423
5750.0786129,1989,20,female,some college,white,6810.39,0,0,0,3894.87
8016.9059166,1989,69,male,no college,white,206177.54,177256.71,26681.8,22390.32,50633.27
8560.1214901,1989,89,female,no college,black,0,0,0,0,1947.43
8796.749975,1989,31,male,no college,white,33622.8,0,18658.6,0,19474.33
8874.1130974,1989,47,female,no college,white,746.34,0,1865.86,0,11684.6
5767.6274321,1989,27,male,no college,other,39369.65,14926.88,17725.67,932.93,21421.77
8617.6505177,1989,62,male,no college,white,74503.79,42914.78,93.29,0,0
8675.8482268,1989,59,female,no college,black,0,0,0,0,5842.3
5563.6944267,1989,71,male,no college,black,4366.11,3731.72,3731.72,0,11684.6
9771.2110305,1989,77,male,no college,white,464599.16,354513.41,46646.5,46646.5,33106.37
9741.3091705,1989,68,male,no college,white,203378.75,166061.55,0,0,29211.5
10294.136589,1989,62,male,no college,white,182257.21,167927.41,932.93,0,46738.4
9903.5756864,1989,75,male,no college,black,248159.39,186586.01,932.93,0,35053.8
7021.2074088,1989,41,female,no college,black,0,0,783.66,0,1246.36
7021.2074088,1989,41,male,no college,black,876.95,0,0,0,11684.6
4581.4089727,1989,49,male,no college,other,9814.42,7463.44,0,0,23369.2
3962.6787059,1989,57,male,no college,other,312344.98,139939.51,8545.64,0,42843.53
8675.8482268,1989,55,female,no college,black,0,0,0,0,23369.2
9995.1189976,1989,22,female,no college,black,18.66,0,0,0,15579.47
7818.8549509,1989,25,male,some college,white,8396.37,0,15654.57,0,27264.07
